Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,189.435,198.294,188.924,197.017,662621.61498788
2022-01-04,197.312,198.196,194.169,194.915,523189.31348267
2022-01-05,194.464,200.357,193.678,200.357,355236.62964434
2022-01-07,196.821,197.951,192.381,195.092,540303.98652675
2022-01-10,195.053,196.094,184.741,184.741,410674.77099145
2022-01-11,186.116,189.651,184.839,185.192,349787.30308525
2022-01-12,185.919,193.147,182.678,192.499,533519.81932509
2022-01-13,189.553,194.228,188.571,189.573,299803.57922265
2022-01-14,189.513,191.851,186.311,187.588,261369.12874566
2022-01-17,188.08,188.394,185.33,187.588,115894.91696361
2022-01-18,186.606,204.384,183.13,190.536,1495704.7218562
2022-01-19,188.571,188.944,183.66,184.387,551661.84111694
2022-01-20,185.919,188.924,184.131,186.606,401786.0152252
2022-01-21,185.625,187.588,180.871,182.678,383948.43077289
2022-01-24,181.695,184.151,172.856,174.821,501687.28092008
2022-01-25,174.821,177.65,169.321,169.734,524668.73640688
2022-01-26,170.401,174.035,168.948,170.028,321871.72269085
2022-01-27,168.889,172.581,165.549,172.267,274820.37186454
2022-01-28,171.875,173.74,163.133,163.251,482964.89363145
2022-01-31,166.178,176.844,163.526,176.844,533842.58399609
2022-02-01,178.042,182.579,174.644,177.708,904329.58979928
2022-02-02,178.749,183.267,177.708,182.521,379712.78083158
2022-02-03,179.967,182.521,179.201,181.695,114576.36728236
2022-02-04,179.732,183.994,174.703,174.703,366916.23072046
2022-02-07,174.841,178.082,172.856,176.353,414431.87394419
2022-02-08,176.058,176.786,170.303,175.272,504048.45212533
2022-02-09,176.589,180.321,174.762,180.321,370573.55153517
2022-02-10,180.518,180.714,174.978,178.238,201413.30018953
2022-02-11,177.532,177.532,173.642,174.841,246975.04624081
2022-02-14,170.578,177.552,169.812,175.607,474927.3405938
2022-02-15,176.786,184.013,176.215,177.63,633601.30377948
2022-02-16,184.151,184.642,176.981,178.553,340296.79993552
2022-02-17,178.749,180.518,175.41,176.786,352355.16586216
2022-02-18,176.786,179.064,171.678,171.678,279145.62209306
2022-02-21,173.407,174.035,165.373,165.982,328256.76134035
2022-02-22,163.035,168.044,156.357,168.044,410774.55312949
2022-02-23,172.601,176.687,165.982,166.375,425897.65615308
2022-02-24,157.143,161.071,147.518,157.005,777044.23632285
2022-02-25,161.386,164.488,157.358,161.464,434823.06658228
2022-02-28,158.537,166.964,156.199,165.392,665351.36919284
2022-03-01,166.964,168.889,163.939,165.294,608337.07733873
2022-03-02,164.017,171.875,163.016,169.439,592436.08091246
2022-03-03,168.437,168.928,160.089,160.089,442289.41778891
2022-03-04,160.089,162.918,156.71,158.4,318252.0747242
2022-03-07,155.178,160.56,152.232,159.971,589144.28854221
2022-03-08,159.106,161.935,153.214,155.139,445168.84520093
2022-03-09,157.536,161.562,157.299,159.166,357628.34640206
2022-03-10,159.814,161.444,155.178,155.178,304020.90183247
2022-03-11,157.476,162.328,155.689,160.6,349702.79372343
2022-03-14,160.718,163.722,157.653,159.794,305567.52497209
2022-03-15,160.089,166.375,158.851,163.939,363128.58221526
2022-03-16,165.982,169.282,163.094,167.259,527475.87267808
2022-03-17,168.437,170.794,165.785,169.91,395096.53923619
2022-03-18,170.676,171.266,165.196,167.081,518262.31587067
2022-03-21,165.549,169.714,165.196,168.26,186481.61596136
2022-03-22,183.602,183.798,168.613,171.069,1128896.4187544
2022-03-23,171.757,178.16,171.187,174.781,500830.98726608
2022-03-24,174.821,174.841,170.893,172.837,242183.46724472
2022-03-25,172.954,175.744,170.893,172.307,223210.60642591
2022-03-28,171.992,175.665,170.676,173.249,210813.18486696
2022-03-29,174.075,176.412,171.384,175.116,279920.4609405
2022-03-30,175.116,179.535,174.624,178.376,289519.90989401
2022-03-31,177.276,178.769,170.637,170.637,456483.93601767
2022-04-01,170.893,173.544,170.008,172.621,231734.85193278
2022-04-04,171.875,172.758,169.026,171.011,193213.85572383
2022-04-05,171.875,176.706,171.364,173.151,341535.93118036
2022-04-06,174.899,174.899,170.519,171.973,190677.55668446
2022-04-07,173.446,174.173,170.598,170.893,241446.30124532
2022-04-08,172.856,172.856,167.454,167.828,204442.40080861
2022-04-11,167.062,172.758,165.884,172.641,242178.3763193
2022-04-12,171.639,171.777,165.687,165.785,257648.68045588
2022-04-13,166.964,168.26,165.176,166.846,126640.8423195
2022-04-14,164.823,167.219,160.049,164.017,475842.68898256
2022-04-19,164.017,164.96,147.125,147.223,1701109.3075674
2022-04-20,147.321,149.678,134.985,134.985,1251988.886063
2022-04-21,135.535,137.244,125.517,126.343,1430051.129581
2022-04-22,126.696,129.74,123.377,125.321,1089837.8208222
2022-04-25,124.732,128.955,123.455,128.386,939674.86673734
2022-04-26,129.583,130.821,124.516,125.675,579949.05906628
2022-04-27,125.714,128.582,122.767,126.814,655150.17285585
2022-04-28,127.678,128.366,120.155,121.274,653223.76668062
2022-04-29,121.943,124.634,117.602,118.819,654298.97012726
2022-05-02,117.68,119.055,113.437,117.287,396315.30677939
2022-05-04,117.857,121.471,113.162,120.862,762041.27913894
2022-05-05,122.473,123.18,116.776,117.346,424828.56181694
2022-05-06,114.911,116.345,112.318,115.637,506131.6588032
2022-05-09,115.637,115.892,112.102,113.005,303030.20774764
2022-05-10,115.264,116.089,111.257,114.42,305962.58078393
2022-05-11,115.362,119.291,113.712,118.917,415447.00447099
2022-05-12,115.028,117.385,111.591,114.538,395517.04967506
2022-05-13,115.284,119.546,114.183,118.525,334098.08915603
2022-05-16,118.348,119.232,114.793,114.793,237444.83387289
2022-05-17,116.364,123.16,115.304,121.923,558355.3898463
2022-05-18,122.571,122.728,116.698,116.973,437498.85697789
2022-05-19,115.107,115.932,112.691,114.793,689042.49968183
2022-05-20,114.911,119.507,114.556,116.246,396505.70738973
2022-05-23,117.857,119.684,113.457,114.538,282691.96073382
2022-05-24,113.575,114.714,108.841,109.018,575507.7357384
2022-05-25,109.018,109.391,103.989,106.072,489114.731527
2022-05-26,106.562,109.607,104.716,108.645,385468.58110038
2022-05-27,110.059,112.691,105.286,110.275,607009.36399175
2022-05-30,111.964,115.873,111.001,111.08,348068.60666675
2022-05-31,111.08,111.139,106.543,106.72,1205014.917303
2022-06-01,107.348,108.645,106.267,106.425,294006.03336549
2022-06-02,107.112,107.112,104.558,106.012,250655.7853124
2022-06-03,106.955,107.741,102.142,102.339,264823.83072904
2022-06-06,102.732,106.798,101.73,104.991,280887.73676844
2022-06-07,104.558,104.971,101.671,103.301,397671.52930867
2022-06-08,102.417,103.969,101.18,101.534,352142.36518001
2022-06-09,101.651,101.651,91.4863,92.272,1124227.0219682
2022-06-10,91.5845,94.1872,88.0586,91.9577,965874.80526848
2022-06-13,89.964,91.1229,86.7229,86.8506,605177.64902915
2022-06-14,86.9194,90.7498,84.8176,89.7676,614518.47897182
2022-06-15,89.8657,90.2587,88.3042,90.1703,421333.13243028
2022-06-17,88.7462,91.6926,88.3926,88.9131,864526.69857204
2022-06-20,88.9818,91.8497,88.9818,90.8479,219912.70494518
2022-06-21,91.5256,92.0265,89.139,89.7381,289833.51089927
2022-06-22,88.5792,90.072,86.7917,89.3256,251463.20608246
2022-06-23,88.3926,90.0622,87.4596,89.0506,210550.49311579
2022-06-24,89.8657,92.9694,89.0702,92.7238,230172.95601693
2022-06-27,93.0087,93.7943,91.4175,93.2836,330190.29481115
2022-06-28,93.6961,96.1023,93.3033,95.6604,296695.06016716
2022-06-29,94.7765,96.5934,92.5274,96.5934,318261.23838993
2022-06-30,95.2676,99.2944,93.7059,93.9712,584329.29128922
2022-07-01,93.6961,96.5247,91.889,96.2104,315327.84716856
2022-07-04,97.1431,97.1431,93.3824,94.5632,261154.97934074
2022-07-05,96.0318,96.0318,88.1929,91.1201,375560.44369051
2022-07-06,90.8918,98.314,90.743,96.6966,494381.04126951
2022-07-07,97.1332,103.117,96.7462,102.978,452801.59210907
2022-07-08,102.998,104.089,99.723,102.998,316245.88506462
2022-07-11,103.196,105.2,101.827,103.692,436419.94621971
2022-07-12,103.692,103.692,100.12,101.231,424056.36382841
2022-07-13,101.231,101.727,95.4662,96.8951,220306.17879733
2022-07-14,96.8951,98.1553,93.0848,94.087,280270.76274457
2022-07-15,94.2656,96.8157,92.281,92.5985,339295.07750604
2022-07-18,94.2656,94.8212,90.5545,93.0848,350461.40395662
2022-07-19,93.0748,93.2733,90.0186,93.2634,285617.09503882
2022-07-20,94.8708,95.0495,91.0903,93.6702,353392.06075429
2022-07-21,94.2656,94.5632,90.9712,91.8345,423219.89713581
2022-07-22,92.281,98.0362,91.9833,97.7484,395757.58704754
2022-07-25,96.2501,96.2501,89.4034,89.4034,538913.31863394
2022-07-26,89.0363,89.8996,86.129,88.9371,474895.39849678
2022-07-27,90.4949,90.4949,85.8313,88.2524,368702.42460241
2022-07-28,91.0705,91.1796,87.3891,87.8158,243599.25670816
2022-07-29,89.205,90.108,88.1135,90.108,327430.35175671
2022-08-01,88.6096,90.4453,86.7243,89.6714,229249.31786974
2022-08-02,89.3042,89.4531,85.732,85.8313,302391.77949458
2022-08-03,85.9107,88.5005,85.8809,87.022,254370.52900994
2022-08-04,87.8158,92.8268,87.022,91.765,442656.15813994
2022-08-05,91.7849,94.1564,91.3086,91.9436,429798.75806265
2022-08-08,92.7772,92.7772,89.4134,90.9911,334399.22787636
