Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2022-01-02;187.765;193.737;184.839;189.455;902670.96630063
2022-01-09;189.435;200.357;188.924;195.092;2081351.5446416
2022-01-16;195.053;196.094;182.678;187.588;1855154.6013701
2022-01-23;188.08;204.384;180.871;182.678;2948995.9259349
2022-01-30;181.695;184.151;163.133;163.251;2106013.0055138
2022-02-06;166.178;183.994;163.526;174.703;2299377.5526298
2022-02-13;174.841;180.714;170.303;174.841;1737442.224035
2022-02-20;170.578;184.642;169.812;171.678;2080326.232264
2022-02-27;173.407;176.687;147.518;161.464;2376796.2735281
2022-03-06;158.537;171.875;156.199;158.4;2626666.0199572
2022-03-13;155.178;162.328;152.232;160.6;2045665.1757011
2022-03-20;160.718;171.266;157.653;167.081;2109530.8349723
2022-03-27;165.549;183.798;165.196;172.307;2281603.0956525
2022-04-03;171.992;179.535;170.008;172.621;1468472.3436519
2022-04-10;171.875;176.706;167.454;167.828;1171316.0456425
2022-04-17;167.062;172.758;160.049;164.017;1102310.5880773
2022-04-24;164.017;164.96;123.377;125.321;5472987.1440336
2022-05-01;124.732;130.821;117.602;118.819;3482296.8354673
2022-05-08;117.68;123.18;112.318;115.637;2089316.8065384
2022-05-15;115.637;119.546;111.257;118.525;1754054.9318336
2022-05-22;118.348;123.16;112.691;116.246;2318847.2877687
2022-05-29;117.857;119.684;103.989;110.275;2339792.3730913
2022-06-05;111.964;115.873;102.142;102.339;2362569.1733766
2022-06-12;102.732;106.798;88.0586;91.9577;3120803.4584938
2022-06-19;89.964;91.6926;84.8176;88.9131;2505555.9590033
2022-06-26;88.9818;92.9694;86.7917;92.7238;1201932.8710596
2022-07-03;93.0087;99.2944;91.4175;96.2104;1844803.731826
2022-07-10;97.1431;104.089;88.1929;102.998;1900143.9414744
2022-07-17;103.196;105.2;92.281;92.5985;1700348.3290961
2022-07-24;94.2656;98.0362;90.0186;97.7484;1808448.0439331
2022-07-31;96.2501;96.2501;85.8313;90.108;1953540.750198
2022-08-07;88.6096;94.1564;85.732;91.9436;1658466.5425769
2022-08-14;92.7772;95.6547;86.9228;93.2733;1486227.9726592
2022-08-21;94.7319;95.9425;88.2425;88.2425;1247290.7580232
2022-08-28;87.7166;88.2425;81.3661;83.3506;1902837.7673411
2022-09-04;81.6836;85.3351;79.5006;81.3661;1899966.570224
2022-09-11;81.4157;87.1212;76.2162;87.1212;3075850.2830617
2022-09-18;87.3197;91.8841;81.9813;88.0837;6046507.3210954
2022-09-25;94.3648;96.7065;85.3848;89.7904;5122249.9218411
2022-10-02;94.2358;107.661;90.4056;99.4254;5603117.4909648
2022-10-09;99.2269;122.367;95.8532;115.322;6269082.0378747
2022-10-16;114.012;119.866;110.42;112.881;3567092.054756
2022-10-23;113.615;124.907;112.484;117.683;3162552.5752274
2022-10-30;119.072;123.895;116.393;123.041;2951339.6963907
2022-11-06;123.041;138.918;121.751;138.104;2246562.0871531
2022-11-13;138.898;141.894;130.92;139.711;1465420.1078374
2022-11-20;139.91;152.313;139.91;143.879;2380518.7007033
2022-11-27;143.581;144.772;133.996;138.918;1744089.4903717
2022-12-04;138.918;141.517;120.303;126.336;4023439.0562922
2022-12-11;127.685;131.813;124.133;130.364;1686572.8312393
2022-12-18;130.98;141.894;125.681;131.615;2791026.3196941
2022-12-25;131.972;132.547;124.847;128.3;1088796.4444352
2023-01-01;128.995;129.372;124.55;128.638;704854.20136844
