Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2022-01-03;27.98;28;27.44;27.8;18095
2022-01-04;27.56;28.92;27.46;28.58;74528
2022-01-05;28.4;29;28.14;28.22;44974
2022-01-07;28.9;28.96;27.7;28.8;60656
2022-01-10;28.94;28.94;28;28.12;24401
2022-01-11;28.5;28.5;27.9;28.12;23644
2022-01-12;28.22;28.84;27.64;27.9;104964
2022-01-13;28.5;28.96;27.9;28;41224
2022-01-14;28;28;27.5;27.64;26339
2022-01-17;27.5;28.5;27.5;28.22;48525
2022-01-18;28.18;28.28;27.5;27.96;243412
2022-01-19;27.9;27.9;26.52;26.52;60345
2022-01-20;26.86;27.38;26.18;26.8;188639
2022-01-21;26.56;26.98;26.08;26.72;53177
2022-01-24;26.8;27.04;24.92;25.56;133871
2022-01-25;25.32;26.32;25.16;25.34;72012
2022-01-26;25.44;26.42;25.44;25.9;61525
2022-01-27;25.62;25.82;25.26;25.56;26949
2022-01-28;25.6;25.76;25.06;25.06;40484
2022-01-31;25.1;25.86;25.1;25.12;34411
2022-02-01;25.94;26.14;25.4;25.4;16546
2022-02-02;25.6;27.2;25.5;26.9;78723
2022-02-03;27.5;27.5;26.32;27.08;49005
2022-02-04;26.78;27.34;26.5;27.22;41600
2022-02-07;27.34;27.34;26.68;26.8;24568
2022-02-08;27;27.68;26.98;27.48;25152
2022-02-09;27.6;27.9;26.66;26.66;179482
2022-02-10;27;27.7;26.9;27.5;25564
2022-02-11;27.4;27.68;26.7;27.68;251706
2022-02-14;26;26.86;25.54;26.52;157809
2022-02-15;26.3;26.9;26.3;26.6;56460
2022-02-16;26.8;26.8;26.04;26.48;35375
2022-02-17;26.06;26.6;25.86;26.52;60128
2022-02-18;26.02;26.7;25.92;26.06;32892
2022-02-21;25.86;26.2;23.4;24.2;90829
2022-02-22;23.56;24.9;23.4;24.5;87830
2022-02-23;24.5;25.44;23.82;24;57754
2022-02-24;21.56;22.46;18;22.1;422578
2022-02-25;22.3;23.52;21.86;23.48;90800
2022-02-28;22.2;23.48;22.06;23;63323
2022-03-01;23.36;25.48;22;22.9;79094
2022-03-02;23.2;23.2;21.06;21.06;113389
2022-03-03;22;22;20.18;21;159965
2022-03-04;21;21.06;19.84;20.3;51367
2022-03-07;20.3;20.3;18.6;19.35;119645
2022-03-08;19.1;19.79;18.4;19;130552
2022-03-09;19.5;20;18.65;19.35;176267
2022-03-10;19.94;19.99;19.1;19.2;155130
2022-03-11;19.79;19.79;19.05;19.4;95707
2022-03-14;19.5;19.5;18.52;18.62;87388
2022-03-15;18.86;18.86;18.32;18.5;54937
2022-03-16;18.64;20.2;18.6;19.75;343709
2022-03-17;20.58;20.58;18.95;19.49;194559
2022-03-18;19.64;19.8;19.06;19.74;141184
2022-03-21;19.71;20.32;19.15;19.3;153408
2022-03-22;19.86;19.86;19.2;19.49;53248
2022-03-23;19.79;19.79;19.38;19.5;37153
2022-03-24;19.5;20;19.4;19.5;73781
2022-03-25;19.5;19.98;19.24;19.5;294660
2022-03-28;19.72;21.8;19.72;20.98;244873
2022-03-29;21.5;22.42;20.42;21.02;479602
2022-03-30;21.78;22;20.7;20.7;149171
2022-03-31;20.94;20.94;20.1;20.2;132442
2022-04-01;20.4;20.5;19.8;20.1;218693
2022-04-04;20.46;20.78;19.76;19.97;48881
2022-04-05;19.98;20.28;19.44;19.55;93270
2022-04-06;19.55;19.69;19.02;19.4;73030
2022-04-07;19.12;19.7;19.11;19.2;33493
2022-04-08;19.3;19.36;18.8;19.2;248155
2022-04-11;19.26;19.26;18.6;18.8;135589
2022-04-12;18.89;18.92;18.44;18.78;62993
2022-04-13;18.88;19.7;18.5;19.18;152290
2022-04-14;19.36;19.36;18.82;18.82;32687
2022-04-19;18.82;19.5;18;18.5;121865
2022-04-20;18.5;18.76;18.3;18.3;42985
2022-04-21;18.26;18.9;18.26;18.5;102363
2022-04-22;18.74;19.04;18.42;18.54;73161
2022-04-25;18.52;18.96;18.06;18.96;61989
2022-04-26;18.96;18.96;18.1;18.48;57822
2022-04-27;18.36;18.36;17.66;18;79995
2022-04-28;18.1;18.2;17.24;17.38;179693
2022-04-29;17.68;17.78;17.18;17.4;78489
2022-05-02;17.6;17.6;17;17.3;24549
2022-05-04;17.8;17.86;17.26;17.5;42468
2022-05-05;17.9;18;16.52;16.76;144758
2022-05-06;17.02;17.68;17.02;17.5;81491
2022-05-09;18;18.1;17.06;17.08;59930
