Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-02,27.24,28.3,26.62,27.72,258241
2022-01-09,27.98,29,27.44,28.8,198253
2022-01-16,28.94,28.96,27.5,27.64,220572
2022-01-23,27.5,28.5,26.08,26.72,594098
2022-01-30,26.8,27.04,24.92,25.06,334841
2022-02-06,25.1,27.5,25.1,27.22,220285
2022-02-13,27.34,27.9,26.66,27.68,506472
2022-02-20,26,26.9,25.54,26.06,342664
2022-02-27,25.86,26.2,18,23.48,749791
2022-03-06,22.2,25.48,19.84,20.3,467138
2022-03-13,20.3,20.3,18.4,19.4,677301
2022-03-20,19.5,20.58,18.32,19.74,821777
2022-03-27,19.71,20.32,19.15,19.5,612250
2022-04-03,19.72,22.42,19.72,20.1,1224781
2022-04-10,20.46,20.78,18.8,19.2,496829
2022-04-17,19.26,19.7,18.44,18.82,383559
2022-04-24,18.82,19.5,18,18.54,340374
2022-05-01,18.52,18.96,17.18,17.4,457988
2022-05-08,17.6,18,16.52,17.5,293266
2022-05-15,18,18.1,16.4,17.56,372287
2022-05-22,17.86,19,17.7,18.02,371526
2022-05-29,18.06,18.58,17.36,18.2,231152
2022-06-05,18.5,18.92,18.14,18.6,176574
2022-06-12,18.7,18.9,17.48,17.5,155559
2022-06-19,17.5,18.36,16.86,17.74,195103
2022-06-26,17.42,18.24,16.64,17.5,190766
2022-07-03,17.76,18.26,17.3,17.56,78413
2022-07-10,17.92,17.92,16.52,17.04,98954
2022-07-17,17.04,18.7,16.68,17.5,106873
2022-07-24,18,18.7,17.5,18.34,207474
2022-07-31,18.52,18.9,17.5,18.7,175695
2022-08-07,18.7,19.96,18.7,19.4,177633
2022-08-14,19.9,21.45,19.8,21.25,447061
2022-08-21,21,22.1,20.8,22,209180
2022-08-28,21.9,21.95,19.96,21.3,225274
2022-09-04,20.9,21.3,19.36,19.7,268236
2022-09-11,19.3,20.8,18.4,20.6,266457
2022-09-18,21,21,19.4,19.4,224130
2022-09-25,19.42,19.7,17.82,18.2,222899
2022-10-02,18.02,18.8,17.4,17.64,125434
2022-10-09,17.42,19.48,17.38,18.4,253663
2022-10-16,18.02,18.52,17.64,18.36,99272
2022-10-23,18.46,18.52,17.78,18.08,54590
2022-10-30,18.08,18.48,17.5,18,103762
2022-11-06,18.02,18.6,18,18.26,183208
2022-11-13,18.46,18.62,18.04,18.48,232436
2022-11-20,18.7,18.7,17.9,18.5,371472
2022-11-27,18.5,20,18.24,19.76,296953
2022-12-04,19.7,20.65,19.04,19.8,925349
2022-12-11,19.6,20.05,19.1,19.54,428745
2022-12-18,19.54,20.25,18.04,18.66,848473
2022-12-25,18.5,19.28,18.46,18.96,196225
2023-01-01,19,19.68,18.42,19.56,119769
2023-01-08,19.5,20,18.9,19.5,387668
2023-01-15,19.42,20,18.92,19.1,546342
2023-01-22,19.34,19.34,18.36,18.9,679872
2023-01-29,19,19.48,18.7,19.3,599231
2023-02-05,19.18,20.9,18.98,20.8,962698
2023-02-12,20.7,21.15,20.25,20.45,634716
2023-02-19,20.35,20.8,19.96,20.7,163367
2023-02-26,20.85,21.1,19.42,19.84,216541
2023-03-05,20.3,20.85,19.06,19.4,297500
2023-03-12,19.78,20,18.54,18.76,208137
2023-03-19,18.72,19.24,18.12,18.62,296443
2023-03-26,18.58,18.92,17.82,18,236511
2023-04-02,18.36,18.9,17.84,18.84,170428
2023-04-09,18.8,19.26,18.04,18.14,130346
2023-04-16,18.1,18.9,17.92,18.08,229346
2023-04-23,18.2,19,18.2,18.4,172696
2023-04-30,18.4,18.96,17.6,18.76,445651
2023-05-07,18.92,18.92,17.8,18.38,207087
2023-05-14,18.42,23.3,18.3,23.3,1027010
2023-05-21,23.3,23.85,22.2,22.5,515722
2023-05-28,22.45,23,21.65,22.3,356101
2023-06-04,22.7,23.3,21.75,23.15,399032
2023-06-11,23.4,24.15,22.8,22.8,403332
2023-06-18,22.85,23.8,22.3,23,435345
2023-06-25,22.9,23.35,22.6,22.65,334922
2023-07-02,23,23.15,22.55,23,387873
2023-07-09,23,23.55,22.6,23.15,408645
2023-07-16,23,25.3,22.85,24.7,806186
2023-07-23,24.8,27.25,24.8,26.5,1000816
2023-07-30,26.3,27.5,26.3,27.1,701880
2023-08-06,26.9,28.75,26.85,28,449962
2023-08-13,27.5,28.15,26.95,28.05,207330
2023-08-20,27.95,28.2,26.3,27.2,203969
2023-08-27,26.8,28,26.7,27.35,169383
2023-09-03,27.35,29.15,26.8,28.85,369140
2023-09-10,29.2,30.9,28.3,30,750615
2023-09-17,30,30.6,28.85,29,312197
2023-09-24,28.8,29.4,26.8,28.55,388599
2023-10-01,27.75,28.5,24,25.2,434305
2023-10-08,24.75,26.1,23.85,24.5,459994
2023-10-15,24.15,27.45,23.9,26.3,425104
2023-10-22,26.6,28.2,25.95,26,470488
2023-10-29,26.3,28.3,25.7,26.7,347276
2023-11-05,26.7,28.55,26.1,28.05,256273
2023-11-12,28.4,28.7,26.5,26.5,246543
2023-11-19,26.5,27.8,24.15,26,479780
2023-11-26,26,26.2,24.3,24.7,280518
2023-12-03,24.6,25.5,24,25.1,384444
2023-12-10,25.5,26.2,24.75,25,173164
2023-12-17,25,25.8,24.25,25.3,199921
2023-12-24,25.4,27.1,25.25,25.85,302713
2023-12-31,25.85,27.1,25.15,26.6,155876
2024-01-07,27.1,27.6,25,26,225348
